,Materials,IP(A),EA(A),H(A),L(A),rs(A),rp(A),rd(A),IP(B),EA(B),H(B),L(B),rs(B),rp(B),rd(B),Delta E,sign(Delta E)
33, Cu+  F,-8.389,-1.6380000000000001,-4.856,-0.6409999999999999,1.197,1.68,2.576,-19.404,-4.273,-11.294,1.251,0.406,0.371,1.4280000000000002,-0.018769499999999998,-1
34, Cu+ Cl,-8.389,-1.6380000000000001,-4.856,-0.6409999999999999,1.197,1.68,2.576,-13.902000000000001,-3.971,-8.7,0.574,0.679,0.7559999999999999,1.666,0.156381,1
35, Cu+ Br,-8.389,-1.6380000000000001,-4.856,-0.6409999999999999,1.197,1.68,2.576,-12.65,-3.739,-8.001,0.708,0.7490000000000001,0.882,1.869,0.1520705,1
36, Cu+  I,-8.389,-1.6380000000000001,-4.856,-0.6409999999999999,1.197,1.68,2.576,-11.257,-3.513,-7.236000000000001,0.213,0.8959999999999999,1.071,1.722,0.203405,1
37, Zn+  O,-10.136000000000001,1.081,-6.2170000000000005,-1.194,1.099,1.547,2.254,-16.433,-3.0060000000000002,-9.197000000000001,2.541,0.462,0.42700000000000005,2.219,0.1018155,1
38, Zn+  S,-10.136000000000001,1.081,-6.2170000000000005,-1.194,1.099,1.547,2.254,-11.795,-2.845,-7.106,0.642,0.742,0.847,2.366,0.275334,1
39, Zn+ Se,-10.136000000000001,1.081,-6.2170000000000005,-1.194,1.099,1.547,2.254,-10.946,-2.7510000000000003,-6.654,1.3159999999999998,0.7979999999999999,0.9520000000000001,2.177,0.259251,1
40, Zn+ Te,-10.136000000000001,1.081,-6.2170000000000005,-1.194,1.099,1.547,2.254,-9.867,-2.6660000000000004,-6.109,0.099,0.945,1.141,1.827,0.24118850000000003,1
41, Ga+  N,-5.818,-0.10800000000000001,-2.7319999999999998,0.13,0.9940000000000001,1.33,2.1630000000000003,-13.585,-1.867,-7.239,3.057,0.539,0.511,1.54,0.4332885,1
42, Ga+  P,-5.818,-0.10800000000000001,-2.7319999999999998,0.13,0.9940000000000001,1.33,2.1630000000000003,-9.751,-1.92,-5.596,0.183,0.826,0.966,1.771,0.340923,1
43, Ga+ As,-5.818,-0.10800000000000001,-2.7319999999999998,0.13,0.9940000000000001,1.33,2.1630000000000003,-9.262,-1.839,-5.341,0.064,0.847,1.043,2.023,0.27141149999999997,1
44, Ga+ Sb,-5.818,-0.10800000000000001,-2.7319999999999998,0.13,0.9940000000000001,1.33,2.1630000000000003,-8.468,-1.847,-4.9910000000000005,0.105,1.001,1.232,2.065,0.158226,1
45, Ge+ Ge,-7.567,-0.9490000000000001,-4.046,2.175,0.917,1.162,2.373,-7.567,-0.9490000000000001,-4.046,2.175,0.917,1.162,2.373,0.202076,1
46, Rb+  F,-4.289,-0.59,-2.36,-0.705,2.24,3.199,1.96,-19.404,-4.273,-11.294,1.251,0.406,0.371,1.4280000000000002,-0.136152,-1
47, Rb+ Cl,-4.289,-0.59,-2.36,-0.705,2.24,3.199,1.96,-13.902000000000001,-3.971,-8.7,0.574,0.679,0.7559999999999999,1.666,-0.16078299999999998,-1
48, Rb+ Br,-4.289,-0.59,-2.36,-0.705,2.24,3.199,1.96,-12.65,-3.739,-8.001,0.708,0.7490000000000001,0.882,1.869,-0.16428199999999998,-1
49, Rb+  I,-4.289,-0.59,-2.36,-0.705,2.24,3.199,1.96,-11.257,-3.513,-7.236000000000001,0.213,0.8959999999999999,1.071,1.722,-0.168527,-1
50, Sr+  O,-6.032,0.34299999999999997,-3.641,-1.379,1.911,2.548,1.204,-16.433,-3.0060000000000002,-9.197000000000001,2.541,0.462,0.42700000000000005,2.219,-0.220613,-1
51, Sr+  S,-6.032,0.34299999999999997,-3.641,-1.379,1.911,2.548,1.204,-11.795,-2.845,-7.106,0.642,0.742,0.847,2.366,-0.36885300000000004,-1
52, Sr+ Se,-6.032,0.34299999999999997,-3.641,-1.379,1.911,2.548,1.204,-10.946,-2.7510000000000003,-6.654,1.3159999999999998,0.7979999999999999,0.9520000000000001,2.177,-0.3751365,-1
53, Sr+ Te,-6.032,0.34299999999999997,-3.641,-1.379,1.911,2.548,1.204,-9.867,-2.6660000000000004,-6.109,0.099,0.945,1.141,1.827,-0.38064899999999996,-1
54, Ag+  F,-8.058,-1.6669999999999998,-4.71,-0.479,1.3159999999999998,1.883,2.968,-19.404,-4.273,-11.294,1.251,0.406,0.371,1.4280000000000002,-0.1557595,-1
55, Ag+ Cl,-8.058,-1.6669999999999998,-4.71,-0.479,1.3159999999999998,1.883,2.968,-13.902000000000001,-3.971,-8.7,0.574,0.679,0.7559999999999999,1.666,-0.043813,-1
56, Ag+ Br,-8.058,-1.6669999999999998,-4.71,-0.479,1.3159999999999998,1.883,2.968,-12.65,-3.739,-8.001,0.708,0.7490000000000001,0.882,1.869,-0.030367500000000002,-1
57, Ag+  I,-8.058,-1.6669999999999998,-4.71,-0.479,1.3159999999999998,1.883,2.968,-11.257,-3.513,-7.236000000000001,0.213,0.8959999999999999,1.071,1.722,0.036523,1
58, Cd+  O,-9.581,0.8390000000000001,-5.952000000000001,-1.3090000000000002,1.232,1.736,2.6039999999999996,-16.433,-3.0060000000000002,-9.197000000000001,2.541,0.462,0.42700000000000005,2.219,-0.0871575,-1
59, Cd+  S,-9.581,0.8390000000000001,-5.952000000000001,-1.3090000000000002,1.232,1.736,2.6039999999999996,-11.795,-2.845,-7.106,0.642,0.742,0.847,2.366,0.07091950000000001,1
60, Cd+ Se,-9.581,0.8390000000000001,-5.952000000000001,-1.3090000000000002,1.232,1.736,2.6039999999999996,-10.946,-2.7510000000000003,-6.654,1.3159999999999998,0.7979999999999999,0.9520000000000001,2.177,0.0831555,1
61, Cd+ Te,-9.581,0.8390000000000001,-5.952000000000001,-1.3090000000000002,1.232,1.736,2.6039999999999996,-9.867,-2.6660000000000004,-6.109,0.099,0.945,1.141,1.827,0.1127115,1
62, In+  N,-5.537000000000001,-0.256,-2.697,0.368,1.1340000000000001,1.4980000000000002,3.108,-13.585,-1.867,-7.239,3.057,0.539,0.511,1.54,0.15071400000000001,1
63, In+  P,-5.537000000000001,-0.256,-2.697,0.368,1.1340000000000001,1.4980000000000002,3.108,-9.751,-1.92,-5.596,0.183,0.826,0.966,1.771,0.170062,1
64, In+ As,-5.537000000000001,-0.256,-2.697,0.368,1.1340000000000001,1.4980000000000002,3.108,-9.262,-1.839,-5.341,0.064,0.847,1.043,2.023,0.12230099999999999,1
65, In+ Sb,-5.537000000000001,-0.256,-2.697,0.368,1.1340000000000001,1.4980000000000002,3.108,-8.468,-1.847,-4.9910000000000005,0.105,1.001,1.232,2.065,0.0795525,1
66, Sn+ Sn,-7.042999999999999,-1.0390000000000001,-3.866,0.008,1.057,1.344,2.03,-7.042999999999999,-1.0390000000000001,-3.866,0.008,1.057,1.344,2.03,0.0163115,1
67,  B+ Sb,-8.19,-0.107,-3.715,2.248,0.805,0.826,1.946,-8.468,-1.847,-4.9910000000000005,0.105,1.001,1.232,2.065,0.5808505,1
68, Cs+  F,-4.006,-0.57,-2.22,-0.5479999999999999,2.464,3.1639999999999997,1.974,-19.404,-4.273,-11.294,1.251,0.406,0.371,1.4280000000000002,-0.11158,-1
69, Cs+ Cl,-4.006,-0.57,-2.22,-0.5479999999999999,2.464,3.1639999999999997,1.974,-13.902000000000001,-3.971,-8.7,0.574,0.679,0.7559999999999999,1.666,-0.15247950000000002,-1
70, Cs+ Br,-4.006,-0.57,-2.22,-0.5479999999999999,2.464,3.1639999999999997,1.974,-12.65,-3.739,-8.001,0.708,0.7490000000000001,0.882,1.869,-0.1579615,-1
71, Cs+  I,-4.006,-0.57,-2.22,-0.5479999999999999,2.464,3.1639999999999997,1.974,-11.257,-3.513,-7.236000000000001,0.213,0.8959999999999999,1.071,1.722,-0.164926,-1
72, Ba+  O,-5.516,0.278,-3.346,-2.129,2.149,2.6319999999999997,1.351,-16.433,-3.0060000000000002,-9.197000000000001,2.541,0.462,0.42700000000000005,2.219,-0.095162,-1
73, Ba+  S,-5.516,0.278,-3.346,-2.129,2.149,2.6319999999999997,1.351,-11.795,-2.845,-7.106,0.642,0.742,0.847,2.366,-0.3264895,-1
74, Ba+ Se,-5.516,0.278,-3.346,-2.129,2.149,2.6319999999999997,1.351,-10.946,-2.7510000000000003,-6.654,1.3159999999999998,0.7979999999999999,0.9520000000000001,2.177,-0.3501065,-1
75, Ba+ Te,-5.516,0.278,-3.346,-2.129,2.149,2.6319999999999997,1.351,-9.867,-2.6660000000000004,-6.109,0.099,0.945,1.141,1.827,-0.3810935,-1
76,  C+ Ge,-10.852,-0.872,-5.416,1.992,0.644,0.63,1.631,-7.567,-0.9490000000000001,-4.046,2.175,0.917,1.162,2.373,0.807408,1
77,  C+ Sn,-10.852,-0.872,-5.416,1.992,0.644,0.63,1.631,-7.042999999999999,-1.0390000000000001,-3.866,0.008,1.057,1.344,2.03,0.45098,1
78, Si+ Ge,-7.757999999999999,-0.993,-4.163,0.44,0.938,1.1340000000000001,1.89,-7.567,-0.9490000000000001,-4.046,2.175,0.917,1.162,2.373,0.263938,1
79, Si+ Sn,-7.757999999999999,-0.993,-4.163,0.44,0.938,1.1340000000000001,1.89,-7.042999999999999,-1.0390000000000001,-3.866,0.008,1.057,1.344,2.03,0.136481,1
80, Ge+ Sn,-7.567,-0.9490000000000001,-4.046,2.175,0.917,1.162,2.373,-7.042999999999999,-1.0390000000000001,-3.866,0.008,1.057,1.344,2.03,0.086873,1
